mouraID;NOME;SEXO;PORTE;CAD PETZ ID;DATA DE NASCIMENTO;PESO;FOTO;UNIDADE PETZ;CIDADE;ESTADO;IDADE (MESES);FILHOTE;ENTRADA;PERMANÊNCIA;FAIXA ETARIA
4701370;RAIANE ;FEMALE;Pequeno;7222779;2023-08-10;4.0;https://s3.amazonaws.com/petz-cdm-stg/1b591ece-13ac-483f-8138-095f682eb9e3.jpeg;Petz Bosque Maia;GUARULHOS;SP;14;False;2024-10-12;0;JUNIOR
4700655;Simone;FEMALE;Pequeno;7221822;2024-05-01;5.0;https://s3.amazonaws.com/petz-cdm-stg/32ffaba0-13bf-4f7a-96cf-6046d2b51ff0.jpeg;Petz Congonhas;SAO PAULO;SP;6;True;2024-10-12;0;FILHOTE
4699683;Teco;MALE;Pequeno;7220562;2024-06-10;4.0;https://s3.amazonaws.com/petz-cdm-stg/cff8e336-3319-476b-906e-db18dea7ed8d.jpeg;Petz Santo André;SANTO ANDRE;SP;4;True;2024-10-12;0;FILHOTE
4698871;TIGRADO;MALE;Pequeno;7219457;2023-03-24;3.0;https://s3.amazonaws.com/petz-cdm-stg/8b05aa55-4308-4b1a-97bb-bb3dd45b17eb.jpeg;Petz Hortolandia;HORTOLANDIA;SP;19;False;2024-10-12;3;JUNIOR
4695834;Topázio;FEMALE;Pequeno;7215231;2024-03-15;4.0;https://s3.amazonaws.com/petz-cdm-stg/07afc2d5-a8ef-47d3-a75d-fe89a99cfd31.jpeg;Petz Canoas;CANOAS;RS;7;True;2024-10-12;2;FILHOTE
4698710;val;MALE;Pequeno;7219267;2024-07-07;1.0;https://s3.amazonaws.com/petz-cdm-stg/a550e361-93f3-464e-a8df-97d79673ca0e.jpeg;Petz Barra Américas;RIO DE JANEIRO;RJ;3;True;2024-10-12;3;FILHOTE
4698715;Valeria;FEMALE;Pequeno;7219271;2024-07-07;1.0;https://s3.amazonaws.com/petz-cdm-stg/cff6bffb-dcab-45fa-9795-73ca77fcefe0.jpeg;Petz Barra Américas;RIO DE JANEIRO;RJ;3;True;2024-10-12;3;FILHOTE
4698712;vânia;FEMALE;Pequeno;7219269;2024-07-07;1.0;https://s3.amazonaws.com/petz-cdm-stg/84d40c1f-306d-4e1a-a1d9-f3e40fc76683.jpeg;Petz Barra Américas;RIO DE JANEIRO;RJ;3;True;2024-10-12;3;FILHOTE
4707916;AURORA ;FEMALE;Pequeno;7231611;2023-10-25;3.0;https://s3.amazonaws.com/petz-cdm-stg/68323fd3-bb33-404d-b4f3-7029aa7928e6.jpeg;Petz Bosque Maia;GUARULHOS;SP;12;False;2024-10-19;1;JUNIOR
4707499;Batata Hasselback;FEMALE;Pequeno;7231141;2024-07-10;2.0;https://s3.amazonaws.com/petz-cdm-stg/b586a038-50ac-4a6e-b92e-833cfee91229.jpeg;Petz Morumbi;SAO PAULO;SP;3;True;2024-10-19;1;FILHOTE
4707505;Batata Rosti;MALE;Pequeno;7231146;2024-07-10;2.0;https://s3.amazonaws.com/petz-cdm-stg/a61761c3-554d-4bcc-813b-9b7dc7b85413.jpeg;Petz Morumbi;SAO PAULO;SP;3;True;2024-10-19;0;FILHOTE
4707493;Batata Sauté;MALE;Pequeno;7231137;2024-07-10;2.0;https://s3.amazonaws.com/petz-cdm-stg/c63cafe9-b6aa-4a7d-80a0-9950941e9b0f.jpeg;Petz Morumbi;SAO PAULO;SP;3;True;2024-10-19;0;FILHOTE
4706655;Belinho;MALE;Pequeno;7230074;2022-10-01;0.0;https://s3.amazonaws.com/petz-cdm-stg/35fddaa2-0bba-417f-89ba-98fea383360e.jpeg;Petz Campo Grande;CAMPO GRANDE;MS;25;False;2024-10-19;3;ADULTO
4700418;Bon jovi;MALE;Pequeno;7221546;2021-10-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/9915120b-7f53-4ad9-9e2c-2bca19bceb85.jpeg;Petz Osasco;OSASCO;SP;37;False;2024-10-19;1;ADULTO
4707527;Brian;MALE;Pequeno;7231171;2023-10-12;3.0;https://s3.amazonaws.com/petz-cdm-stg/2b659e6d-8afd-4772-a2e2-d0ab1a9cfa3a.jpeg;Petz Anália Franco;SAO PAULO;SP;12;False;2024-10-19;1;JUNIOR
4706825;CHURRASCO;MALE;Pequeno;7230286;2019-01-21;5.0;https://s3.amazonaws.com/petz-cdm-stg/4d024e06-aee1-41a0-8275-9fe2011de579.jpeg;Petz Aricanduva;SAO PAULO;SP;69;False;2024-10-19;0;ADULTO
4673823;Clebinho;MALE;Pequeno;7186608;2024-03-22;2.0;https://s3.amazonaws.com/petz-cdm-stg/d8d8be50-825d-46d4-b0ef-77d98d48fe05.jpeg;Petz Pampulha;BELO HORIZONTE;MG;7;True;2024-10-19;3;FILHOTE
4699600;Dicinho;FEMALE;Pequeno;7220461;2024-07-25;2.0;https://s3.amazonaws.com/petz-cdm-stg/afccc4c5-c20b-464d-b03a-79c46e888b8a.jpeg;Petz Osasco;OSASCO;SP;3;True;2024-10-19;3;FILHOTE
