mouraID;NOME;SEXO;PORTE;CAD PETZ ID;DATA DE NASCIMENTO;PESO;FOTO;UNIDADE PETZ;CIDADE;ESTADO;IDADE (MESES);FILHOTE;ENTRADA;PERMANÊNCIA
4723505;JUMA;FEMALE;Pequeno;7253553;2024-06-03;3.0;https://s3.amazonaws.com/petz-cdm-stg/80318b1d-56ed-49d5-ad82-de4cb897c337.jpeg;Petz Salvador Paralela;SALVADOR;BA;5;True;;2
4376603;KELLY;FEMALE;Pequeno;6817219;2023-04-10;4.0;https://s3.amazonaws.com/petz-cdm-stg/a730b4e4-a1bd-4d76-9671-8ceffc37cb82.jpeg;Petz Salvador Paralela;SALVADOR;BA;19;False;;2
4723494;Kennedy;MALE;Pequeno;7253536;2024-06-03;0.0;https://s3.amazonaws.com/petz-cdm-stg/0a13a155-2538-40e9-985d-4cad60384434.jpeg;Petz Salvador Paralela;SALVADOR;BA;5;True;;2
4724325;Kobe;MALE;Pequeno;7254652;2024-05-15;2.0;https://s3.amazonaws.com/petz-cdm-stg/b242ec0b-1436-4960-bce9-1650bfeda5c4.jpeg;Petz Pompeia;SAO PAULO;SP;5;True;;2
4720027;Manu ;FEMALE;Pequeno;7248509;2023-10-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/1371a696-7b3f-411c-ab0f-606f075f17e1.jpeg;Petz Sorocaba;SOROCABA;SP;13;False;;2
4726095;Margot;FEMALE;Pequeno;7257061;2024-05-08;2.0;https://s3.amazonaws.com/petz-cdm-stg/31643bb4-8c9a-4a81-94ca-5f880f38a181.jpeg;Petz Tamboré;BARUERI;SP;6;True;;2
4722241;MARTINA;FEMALE;Pequeno;7251881;2023-10-21;3.0;https://s3.amazonaws.com/petz-cdm-stg/945d04dd-6e23-4aa7-a308-ff123c7f2553.jpeg;Petz Ricardo Jafet 24h;SAO PAULO;SP;12;False;;2
4706087;Mel;FEMALE;Pequeno;7229350;2021-09-10;3.0;https://s3.amazonaws.com/petz-cdm-stg/269f0040-5fdb-4b57-a6ab-50c353e538e1.jpeg;Petz Sorocaba;SOROCABA;SP;38;False;;1
4723512;MEL;FEMALE;Pequeno;7253561;2024-09-04;2.0;https://s3.amazonaws.com/petz-cdm-stg/35e46cda-60f0-48f7-af91-10ef2af555f3.jpeg;Petz Salvador Paralela;SALVADOR;BA;2;True;;2
4724456;MELINA;FEMALE;Pequeno;7254802;2024-01-07;4.0;https://s3.amazonaws.com/petz-cdm-stg/86e10baf-45dd-412c-8aa8-2f9eba31cef5.jpeg;Petz Salvador Paralela;SALVADOR;BA;10;True;;2
4561223;milk;MALE;Pequeno;7042883;2024-01-20;1.0;https://s3.amazonaws.com/petz-cdm-stg/1c0241d2-c3cf-417a-a331-5f0cc9d33b3e.jpeg;Petz Barra Américas;RIO DE JANEIRO;RJ;9;True;;2
4725355;Nero;MALE;Pequeno;7256025;2024-07-01;2.0;https://s3.amazonaws.com/petz-cdm-stg/a7dba292-f7ef-4cb8-9462-45685fb068d0.jpeg;Petz Salvador Bonocô;SALVADOR;BA;4;True;;2
4723462;Nescal;MALE;Pequeno;7253493;2024-07-21;1.0;https://s3.amazonaws.com/petz-cdm-stg/348c595c-b612-445b-9348-01b7b8c83b83.jpeg;Petz Carrefour Manilha;SAO GONCALO;RJ;3;True;;1
4706089;Nick;MALE;Pequeno;7229351;2023-05-05;3.0;https://s3.amazonaws.com/petz-cdm-stg/0181e088-4376-48e9-8fd9-fa29556a7c09.jpeg;Petz Sorocaba;SOROCABA;SP;18;False;;1
4723463;Nora;FEMALE;Pequeno;7253494;2023-10-10;3.0;https://s3.amazonaws.com/petz-cdm-stg/494a461f-7a83-4448-8309-9f54e9af94ea.jpeg;Petz Congonhas;SAO PAULO;SP;13;False;;2
2942628;PORTÃO;MALE;Pequeno;4707745;2020-08-01;0.0;https://s3.amazonaws.com/petz-cdm-stg/0eb9b1ae-1bfa-4bad-9940-98fa1065308d.jpeg;Petz Barra Américas;RIO DE JANEIRO;RJ;51;False;;2
4725127;PRINCESA;FEMALE;Pequeno;7255674;2023-11-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/25f7ed2c-1248-486d-bfd6-c45943204033.jpeg;Petz Ricardo Jafet 24h;SAO PAULO;SP;12;False;;2
4725114;Rebecca;FEMALE;Pequeno;7255649;2023-11-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/9a4df1b7-c449-4113-8bf2-3a60215edefe.jpeg;Petz Ricardo Jafet 24h;SAO PAULO;SP;12;False;;1
4719792;Romeu;MALE;Pequeno;7248225;2024-01-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/6617a5cb-e0cc-400b-a290-b262aa311efd.jpeg;Petz Rio Claro;RIO CLARO;SP;10;True;;2
4725345;Sabrina;FEMALE;Pequeno;7256009;2024-06-01;2.0;https://s3.amazonaws.com/petz-cdm-stg/d09b57b3-745f-4779-8780-add1b10ebb9b.jpeg;Petz Salvador Bonocô;SALVADOR;BA;5;True;;1
4726106;Sansão ;MALE;Pequeno;7257074;2023-11-08;2.0;https://s3.amazonaws.com/petz-cdm-stg/abea951f-9df2-4992-bf76-367433a0b8c5.jpeg;Petz Tamboré;BARUERI;SP;12;False;;2
4597328;SERAFINE;MALE;Pequeno;7088750;2020-01-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/6770b94a-aca7-4292-8004-52d9710ebf25.jpeg;Petz Rio Claro;RIO CLARO;SP;58;False;;2
4718620;Server;MALE;Pequeno;7246554;2024-08-30;2.0;https://s3.amazonaws.com/petz-cdm-stg/1f8f210d-badc-484f-82b1-52e680a401f2.jpeg;Petz Itaim;SAO PAULO;SP;2;True;;2
4720028;Suzy;FEMALE;Pequeno;7248512;2023-10-01;3.0;https://s3.amazonaws.com/petz-cdm-stg/45a24cc5-b3c7-44fa-8753-1e2909088d60.jpeg;Petz Sorocaba;SOROCABA;SP;13;False;;2
4707826;Teka;FEMALE;Pequeno;7231497;2024-05-10;2.0;https://s3.amazonaws.com/petz-cdm-stg/d4fd1179-11c3-497b-ad2a-98f1e22db936.jpeg;Petz Pompeia;SAO PAULO;SP;6;True;;2
4723456;Thaylor;MALE;Pequeno;7253488;2023-10-10;3.0;https://s3.amazonaws.com/petz-cdm-stg/f95332ab-cd43-45eb-8ae9-d3094eeca31a.jpeg;Petz Congonhas;SAO PAULO;SP;13;False;;2
4664769;Vitor;MALE;Pequeno;7174809;2022-05-22;3.0;https://s3.amazonaws.com/petz-cdm-stg/e329482a-902b-46de-8b9e-08f3e1c860b8.jpeg;Petz Iguatemi Esplanada;VOTORANTIM;SP;29;False;;2
4723508;Vivi;FEMALE;Pequeno;7253558;2024-09-04;4.0;https://s3.amazonaws.com/petz-cdm-stg/648a2775-d1eb-4452-8e1a-f7ff613a1af3.jpeg;Petz Salvador Paralela;SALVADOR;BA;2;True;;2
4723452;Yoddy;MALE;Pequeno;7253482;2024-07-21;1.0;https://s3.amazonaws.com/petz-cdm-stg/e58f0b2e-84d6-47b7-9e67-5e72db722967.jpeg;Petz Carrefour Manilha;SAO GONCALO;RJ;3;True;;1
4729582;Alberto;MALE;Pequeno;7261643;2022-11-23;3.0;https://s3.amazonaws.com/petz-cdm-stg/9b379eef-42e4-453e-a714-f14ff4e87939.jpeg;Petz João Firmino;SAO BERNARDO DO CAMPO;SP;23;False;2024-11-16;1
4726299;Barney Stinson;MALE;Pequeno;7257286;2024-07-02;2.0;https://s3.amazonaws.com/petz-cdm-stg/e373a9d3-fdeb-47f8-bce6-188d2c40a2a6.jpeg;Petz Anália Franco;SAO PAULO;SP;4;True;2024-11-16;1
4732257;Bolena;FEMALE;Pequeno;7265032;2024-09-07;2.0;https://s3.amazonaws.com/petz-cdm-stg/b2d0e96c-73f2-47ef-bdd9-9c1291b40867.jpeg;Petz Cerro Cora;SAO PAULO;SP;2;True;2024-11-16;1
4732055;Bruninho;MALE;Pequeno;7264807;2023-11-14;3.0;https://s3.amazonaws.com/petz-cdm-stg/17f1c5b5-97d4-480b-867e-67093e7647cd.jpeg;Petz Piracicaba;PIRACICABA;SP;12;False;2024-11-16;1
4726240;Camezo;MALE;Pequeno;7257216;2024-09-07;2.0;https://s3.amazonaws.com/petz-cdm-stg/41c5f964-8a7a-4c6c-b029-4c8ef73953af.jpeg;Petz Itaim;SAO PAULO;SP;2;True;2024-11-16;1
4732265;Canale;MALE;Pequeno;7265037;2024-09-07;2.0;https://s3.amazonaws.com/petz-cdm-stg/c919e476-d0e2-4623-be5a-bb66084b92d3.jpeg;Petz Cerro Cora;SAO PAULO;SP;2;True;2024-11-16;1
4726288;Caqui Rama;MALE;Pequeno;7257275;2023-11-05;4.0;https://s3.amazonaws.com/petz-cdm-stg/2738020c-ce60-4362-8c94-582359380023.jpeg;Petz Morumbi;SAO PAULO;SP;12;False;2024-11-16;1
4732283;Carambola ;FEMALE;Pequeno;7265058;2023-01-23;3.0;https://s3.amazonaws.com/petz-cdm-stg/42dfddf7-7102-4b9b-807b-9ea377f6d0f4.jpeg;Petz Cerro Cora;SAO PAULO;SP;21;False;2024-11-16;1
